approveDate,articleID,articleWordCount,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,inReplyTo,newDesk,parentID,parentUserDisplayName,permID,picURL,printPage,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sectionName,sharing,status,timespeople,trusted,typeOfMaterial,updateDate,userDisplayName,userID,userLocation,userTitle,userURL
1517529462,5a7258e410f40f00018bed7d,835,"The snake-filled heads comment made me think of Medusa.  <br/><br/>I hope he loses, so retrograde.",25791250.0,25791250.0,<br/>,comment,1517508359,1.0,False,0,OpEd,0.0,,25791250,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,5,,0,,Unknown,0,approved,1,0,Op-Ed,1517529462,Jennie,79172841.0,WA,,
1517529428,5a7258e410f40f00018bed7d,835,She-devil reporting for duty!,25795675.0,25795675.0,<br/>,comment,1517527262,1.0,False,0,OpEd,0.0,,25795675,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,2,,0,,Unknown,0,approved,1,0,Op-Ed,1517529428,Nice White Lady,66376882.0,Seattle,,
1517529427,5a7258e410f40f00018bed7d,835,XX is the new mark of the devil.,25792078.0,25792078.0,<br/>,comment,1517511368,1.0,False,0,OpEd,0.0,,25792078,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,1,,0,,Unknown,0,approved,1,0,Op-Ed,1517529427,Stan Sutton,27924638.0,"Westchester County, NY",,
1517529425,5a7258e410f40f00018bed7d,835,"""Courtland Sykes"" should be writing for The Onion, not running for office. ",25791604.0,25791604.0,<br/>,comment,1517509557,1.0,False,0,OpEd,0.0,,25791604,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,6,,0,,Unknown,0,approved,1,0,Op-Ed,1517529425,Phil Carson,31909107.0,Denver,,
1517529418,5a7258e410f40f00018bed7d,835,"I happen to descend for a few of them, because we nasty women like to roam in PACs!  Isabella, Margaret and Eleanore...you must Court our Love or expect to be banished!  OK, Isabella just married into the family, but we call her one of US!",25795241.0,25795241.0,<br/>,comment,1517524825,1.0,False,0,OpEd,0.0,,25795241,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,2,,0,,Unknown,0,approved,1,0,Op-Ed,1517529418,Abby,55271958.0,Tucson,,
1517529411,5a7258e410f40f00018bed7d,835,"I don't care about the details of this troglodyte's oddities. Thing is, in much of America, they are normal and not odd. And they are let loose upon us by the deplorable example of Trump. Now, zoom out a little, and see that he, as he said and as Sarah Sanders said, is remaking the judiciary. Back up a little more and see that this is possible because McConnell and Ryan and their spineless juntas are also deplorable. Now ask Hailey, DeVos, MIller, and Virginia Foxx, why??? Ask the Catholic women who helped to empower Trump, why?? I know: religion and tribalism, but it surely is not the religion of Christ.",25791607.0,25791607.0,<br/>,comment,1517509572,1.0,False,0,OpEd,0.0,,25791607,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/8142/6273/cropped-81426273.jpg,23,6,,0,,Unknown,0,approved,1,0,Op-Ed,1517529411,Des  Johnson,81426273.0,Forest Hills NY,,
1517529401,5a7258e410f40f00018bed7d,835,"As I have grown older, the more I have learned about sexism, the more I want it gone.<br/><br/>I think ""I Stand With The She-Devils"" would make an excellent t-shirt.",25794684.0,25794684.0,<br/>,comment,1517522108,1.0,False,0,OpEd,0.0,,25794684,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/5487/4472/cropped-54874472.jpg?0.7569519344251603,23,5,,0,,Unknown,1,approved,1,0,Op-Ed,1517529401,Jacob Sommer,54874472.0,"Medford, MA",,
1517529401,5a7258e410f40f00018bed7d,835,“...a newfound freedom in the Age of Trump to say things that were previously beyond the pale.”<br/><br/>Hoo wee. You can say that again. ,25791082.0,25791082.0,<br/>,comment,1517507842,1.0,False,0,OpEd,0.0,,25791082,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/3496/6158/cropped-34966158.jpg?0.5289946199607138,23,5,,0,,Unknown,0,approved,1,0,Op-Ed,1517529401,Roxie,34966158.0,San Francisco,,
1517529394,5a7258e410f40f00018bed7d,835,"""Many women, and some men, were horrified that a man who boasted of sexual assault could be elected president."" As a man, I was horrified but 53% of white women were not and voted for him anyway. That's the battle that has to be fought and the segment that Sykes is tapping into.",25795138.0,25795138.0,<br/>,comment,1517524334,1.0,False,0,OpEd,0.0,,25795138,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,8,,0,,Unknown,0,approved,1,0,Op-Ed,1517529394,Sipa111,73664.0,Seattle,,
1517529373,5a7258e410f40f00018bed7d,835,"After reading about Sykes, I'm tempted to feel relief that McCaskill will have no problem holding on to her Senate seat. But, then I remember how much Republicans like tarnished candidates these days. The more tarnished, the better, it seems. After all, look who is president. ",25796019.0,25796019.0,<br/>,comment,1517529313,1.0,False,0,OpEd,0.0,,25796019,https://graphics8.nytimes.com/images/apps/timespeople/none.png,23,4,,0,,Unknown,0,approved,1,0,Op-Ed,1517529373,Nanci,67991502.0,Pennsylvania,,
